選手名,年齢,級班,府県,ホーム,期別,タイプ１,タイプ２,先行意欲,番手経験,先頭を残す動きは？,飛び付き可能性,並走可能性,横の動きへの対応（横をする・横をされた時への対応力）,スピード（縦脚含む）,仕掛け,スタミナ,スタート・位置取り評価,単騎での動き,競輪IQ（ラインの意識）,暴走の有無（斜行や激しい横の動きなど）,相性◯バンク,相性✕バンク,不得意季節,コメント
阿部 拓真,34,S級S班,宮城,,107期,自在,,◯,◯,◯,◯,✕,◯,△,△,△,◯,◯,◯,◯,,,,
嘉永 泰斗,27,S級S班,熊本,熊本,113期,自在,,◯,◯,◯,✕,✕,△,◯,◯,△,✕,✕,◯,✕,函館,,,
郡司 浩平,35,S級S班,神奈川,川崎,99期,自在,,◯,◯,◯,✕,✕,◯,◯,◎,◯,◯,◯,◯,◯,,,,
古性 優作,34,S級S班,大阪,,100期,自在,,△,◯,◯,✕,◯,◯,◯,◯,◯,◯,◯,◯,◯,,,,自力は厳しくなっている。と本人コメントあり
寺崎 浩平,31,S級S班,福井,福井,117期,先行,捲,◯,◯,◯,✕,✕,△,◎,◎,◯,◯,✕,◯,✕,福井,,,圧倒的なスピードを誇る先行選手。実力は皆も御存知の通り。脇本・古性などのSS班などがつく時は逃げるが力が劣る先輩選手がつく場合は捲りに構えるときがある。
南 修二,44,S級S班,大阪,岸和田,88期,追い込み,,✕,◯,◯,✕,✕,◯,◯,◯,◯,◯,◯,◯,◯,,,,
眞杉 匠,26,S級S班,栃木,宇都宮,113期,自在,,◯,◯,◯,◯,◯,◯,◯,◎,◯,◯,◯,◯,◯,,,,
吉田 拓矢,30,S級S班,茨城,取手,107期,自在,,△,◯,◯,✕,✕,△,◯,◯,◯,◯,✕,◯,✕,,,,
脇本 雄太,36,S級S班,福井,福井,94期,捲,先行,◯,◯,✕,✕,✕,✕,◎,◯,◯,✕,✕,◯,✕,,,,
青野　将大,31,S級1班,神奈川,川崎,117期,先行,,◯,◯,◯,✕,✕,△,◯,◯,◯,✕,✕,◯,✕,,,,基本的には先行をしてくれる。安心感はある。時と場合によっては捲る時はあるが自分のスタイルを貫いてくれる。
浅井 康太,41,S級1班,三重,四日市,90期,追い込み,,△,◯,◯,◯,✕,◯,◯,◯,△,◯,◯,◯,◯,,,,
朝倉 佳弘,44,S級1班,東京,京王閣,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
芦澤 辰弘,37,S級1班,茨城,取手,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,◯,,,,
芦澤 大輔,43,S級1班,茨城,取手,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
阿竹 智史,43,S級1班,徳島,小松島,90期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
阿部 将大,29,S級1班,大分,別府,117期,自在,,△,◯,◯,✕,✕,△,◯,△,△,◯,✕,◯,✕,高知,,,自在性と自力を兼ね備えている。ただ徹底先行ではないので予想する際は気をつける。
阿部 力也,37,S級1班,宮城,,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,◯,◯,◯,,,,失格点の多さが気になる。
雨谷 一樹,35,S級1班,栃木,宇都宮,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
荒井 崇博,47,S級1班,長崎,佐世保,82期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,◯,◯,✕,,,,
